"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Darryl McArthur",1978-11-09,"D","Guelph Storm",13,0,6,6,0.46,67
"Jason Lawmaster",1978-12-31,"D","Belleville Bulls",10,0,6,6,0.6,67
"Jonathan Zion",1981-05-21,"D","Ottawa 67's",14,1,5,6,0.43,38
"Justin Davis",1978-03-01,"","Kingston Frontenacs",10,3,3,6,0.6,60
"Krys Barch",1980-03-26,"LW","London Knights",16,4,2,6,0.38,86
"Matt Cooke",1978-09-07,"LW","Kingston Frontenacs",12,5,1,6,0.5,38
"Randy Fitzgerald",1979-09-05,"LW","Plymouth Whalers",15,5,1,6,0.4,67
"Ryan Ready",1978-11-07,"LW","Belleville Bulls",10,4,2,6,0.6,86
"Andrew Long",1978-08-10,"C","Guelph Storm",8,2,3,5,0.62,83
"David Bell",1977-03-24,"D","Ottawa 67's",14,3,2,5,0.36,83
"Derrell Upton",1979-07-07,"RW","Oshawa Generals",7,2,3,5,0.71,56
"Eric Beaudoin",1980-05-03,"LW","Guelph Storm",13,3,2,5,0.38,83
"Eric Gooldy",1979-02-10,"LW","Plymouth Whalers",15,1,4,5,0.33,100
"Evgeny Korolev",1978-07-24,"D","London Knights",15,1,4,5,0.33,56
"Jeremy Adduono",1978-08-04,"LW","Sudbury Wolves",10,2,3,5,0.5,50
"Joel Dezainde",1978-11-02,"D","Belleville Bulls",10,2,3,5,0.5,62
"Justin Papineau",1980-01-15,"C","Belleville Bulls",10,1,4,5,0.5,36
"Konstantin Kalmikov",1978-06-14,"C","Sudbury Wolves",10,5,0,5,0.5,56
"Matt Elich",1978-09-22,"RW","Kingston Frontenacs",12,2,3,5,0.42,83
"Mike Dombkiewicz",1979-02-11,"D","Owen Sound Platers",11,1,4,5,0.45,71
"Mike Vellinga",1978-08-19,"D","Guelph Storm",13,1,4,5,0.38,56
"Paul Mara",1979-09-07,"D","Plymouth Whalers",15,1,4,5,0.33,29
"Peter Campbell",1979-09-07,"C","Sudbury Wolves",10,4,1,5,0.5,83
"Tyler Rennette",1979-04-16,"C","Erie Otters",6,3,2,5,0.83,83
"Vadim Sharapov",1978-01-13,"RW","Erie Otters",7,2,3,5,0.71,71
"Aaron Fransen",1978-09-23,"D","Kingston Frontenacs",11,0,4,4,0.36,50
"Adam Campbell",1980-01-05,"D","Owen Sound Platers",11,4,0,4,0.36,100
"Brandon Coalter",1978-06-22,"LW","Oshawa Generals",7,2,2,4,0.57,67
"Brent Gauvreau",1980-06-29,"RW","Oshawa Generals",7,3,1,4,0.57,100
"Chris Stanley",1979-06-18,"C","Belleville Bulls",10,2,2,4,0.4,80
"Dan Snyder",1978-02-23,"C","Owen Sound Platers",10,1,3,4,0.4,80
"Daniel Tkaczuk",1979-06-10,"C","Barrie Colts",6,2,2,4,0.67,80
"Darcy Harris",1978-12-22,"RW","Kitchener Rangers",6,1,3,4,0.67,67
"Jason Byrnes",1977-05-09,"RW","Kitchener Rangers",6,0,4,4,0.67,100
"Jeff Brown",1978-04-24,"D","London Knights",15,1,3,4,0.27,80
"Jeff Heerema",1980-01-17,"RW","Sarnia Sting",5,4,0,4,0.8,80
"Jeff Scharf",1977-03-06,"RW","Belleville Bulls",10,2,2,4,0.4,40
"Joel Scherban",1980-04-22,"C","London Knights",16,1,3,4,0.25,80
"Julian Smith",1979-05-14,"C","Plymouth Whalers",15,2,2,4,0.27,67
"Keith Delaney",1979-05-07,"C","Barrie Colts",6,4,0,4,0.67,80
"Kevin Mitchell",1980-06-05,"D","Guelph Storm",13,0,4,4,0.31,40
"Larry Paleczny",1978-04-02,"C","Owen Sound Platers",10,0,4,4,0.4,50
"Matt Price",1978-04-27,"LW","Kingston Frontenacs",8,2,2,4,0.5,80
"Michael Zigomanis",1981-01-17,"C","Kingston Frontenacs",12,1,3,4,0.33,57
"Rob Mailloux",1978-02-28,"LW","Kingston Frontenacs",12,1,3,4,0.33,40
"Ryan Christie",1978-07-03,"LW","Owen Sound Platers",11,2,2,4,0.36,50
"Ryan Davis",1978-02-16,"RW","Guelph Storm",13,0,4,4,0.31,80
"Ryan Milanovic",1980-09-03,"LW","Kitchener Rangers",6,1,3,4,0.67,100
"Wes Goldie",1979-04-05,"RW","Owen Sound Platers",11,2,2,4,0.36,67
"Yuri Babenko",1978-01-02,"C","Plymouth Whalers",15,0,4,4,0.27,40
"Arvid Rekis",1979-01-01,"D","Erie Otters",7,1,2,3,0.43,100
"Brad Morgan",1979-04-22,"D","Sudbury Wolves",8,1,2,3,0.38,75
"Chris Hajt",1978-07-05,"D","Guelph Storm",13,0,3,3,0.23,50
"Chris Wismer",1977-09-23,"D","Owen Sound Platers",10,1,2,3,0.3,60
"Dan Hinote",1977-01-30,"RW","Oshawa Generals",5,2,1,3,0.6,75
"Dave Stephenson",1981-04-03,"D","Owen Sound Platers",11,0,3,3,0.27,100
"Eric Braff",1980-11-12,"D","Kingston Frontenacs",12,0,3,3,0.25,100
"Glenn Crawford",1978-02-27,"C","Sudbury Wolves",10,2,1,3,0.3,43
"Jeff Tetzlaff",1978-01-22,"RW","Barrie Colts",6,2,1,3,0.5,75
"Jeff Zehr",1978-12-10,"LW","Erie Otters",5,0,3,3,0.6,100
"Jesse Boulerice",1978-08-10,"RW","Plymouth Whalers",13,2,1,3,0.23,50
"John Erskine",1980-06-26,"D","London Knights",16,0,3,3,0.19,60
"Jon Sim",1977-09-29,"C","Sarnia Sting",5,0,3,3,0.6,60
"Kevin Holdridge",1980-09-09,"D","Plymouth Whalers",15,0,3,3,0.2,100
"Lance Galbraith",1980-02-21,"LW","Ottawa 67's",13,1,2,3,0.23,100
"Lindsay Plunkett",1980-05-12,"LW","Guelph Storm",13,0,3,3,0.23,100
